Word	Year	Frequency	Overall Rank
analyzing	1998	1	369
ancestral	1998	1	920
antibody	1998	1	1562
antigen	1998	1	920
application	1998	1	24
arthritis	1998	1	242
ascertainment	1998	1	287
asthma	1998	1	151
autosomal	1998	1	1274
binary	1998	1	224
bivariate	1998	1	481
bone	1998	1	566
bootstrap	1998	1	1072
brca1	1998	1	808
brca2	1998	1	808
candidate	1998	1	69
carcinoma	1998	1	481
caseonly	1998	1	808
caucasian	1998	1	418
cell	1998	1	189
chordoma	1998	1	1562
chromosomal	1998	1	608
codon	1998	1	1274
collaborative	1998	1	920
combined	1998	1	189
comparison	1998	1	21
confidence	1998	1	1072
copula	1998	1	1562
correct	1998	1	920
correlated	1998	1	300
density	1998	1	267
detect	1998	1	81
detection	1998	1	59
determining	1998	1	1072
diabetes	1998	1	42
different	1998	1	159
disease	1998	1	48
disequilibrium	1998	1	77
dissecting	1998	1	920
dominant	1998	1	1274
earlyonset	1998	1	808
effect	1998	1	8
environmental	1998	1	206
epidemiologic	1998	1	808
epidemiology	1998	1	231
estimation	1998	1	64
excess	1998	1	719
factor	1998	1	35
familybased	1998	1	114
fchl	1998	1	1274
genegene	1998	1	88
genomewide	1998	1	7
genomic	1998	1	73
genotype	1998	1	22
germline	1998	1	300
glutathione	1998	1	1562
haplotype	1998	1	25
head	1998	1	920
high	1998	1	199
history	1998	1	242
homozygosity	1998	1	523
hyperlipidemia	1998	1	1274
identified	1998	1	369
identifying	1998	1	88
ige	1998	1	1562
ii	1998	1	920
important	1998	1	1274
increase	1998	1	481
increasing	1998	1	1072
interval	1998	1	808
investigating	1998	1	277
issue	1998	1	392
level	1998	1	52
likelihoodbased	1998	1	808
localizing	1998	1	1274
logistic	1998	1	189
lung	1998	1	59
major	1998	1	213
malaria	1998	1	1072
many	1998	1	1072
mapping	1998	1	29
measure	1998	1	165
melanomaprone	1998	1	1072
microsatellite	1998	1	1562
mineral	1998	1	1072
modeling	1998	1	79
multiple	1998	1	19
multipoint	1998	1	242
neck	1998	1	1072
nevus	1998	1	1072
new	1998	1	75
non	1998	1	446
number	1998	1	103
obesity	1998	1	165
oral	1998	1	392
osteoarthritis	1998	1	719
ovarian	1998	1	392
overlapping	1998	1	920
pair	1998	1	151
parental	1998	1	392
patient	1998	1	102
polymorphic	1998	1	1562
populationbased	1998	1	231
postmenopausal	1998	1	1072
preliminary	1998	1	808
procedure	1998	1	418
prostate	1998	1	69
qtls	1998	1	719
receptor	1998	1	256
reconstruction	1998	1	920
reference	1998	1	326
regression	1998	1	31
relation	1998	1	326
relationship	1998	1	151
replication	1998	1	213
reveals	1998	1	131
rheumatoid	1998	1	242
role	1998	1	189
sclerosis	1998	1	369
screen	1998	1	481
screening	1998	1	256
select	1998	1	920
set	1998	1	128
sib	1998	1	287
sibpair	1998	1	300
sibship	1998	1	1274
simple	1998	1	481
sle	1998	1	808
specific	1998	1	256
squamous	1998	1	1274
status	1998	1	446
strategy	1998	1	111
transmission	1998	1	231
transmissiondisequilibrium	1998	1	719
twolocus	1998	1	719
type	1998	1	33
useful	1998	1	1274
vitamin	1998	1	652
within	1998	1	277
linkage	1999	24	3
association	1999	14	1
trait	1999	14	6
family	1999	11	9
gene	1999	11	14
population	1999	9	10
effect	1999	8	8
factor	1999	8	35
test	1999	8	11
evidence	1999	7	66
interaction	1999	7	5
mapping	1999	7	29
cancer	1999	6	4
complex	1999	6	17
component	1999	6	99
disequilibrium	1999	6	77
locus	1999	6	13
power	1999	6	25
scan	1999	6	59
variance	1999	6	151
disease	1999	5	48
influence	1999	5	159
model	1999	5	22
polymorphism	1999	5	28
tdt	1999	5	326
affected	1999	4	114
comparison	1999	4	21
conditional	1999	4	256
estimation	1999	4	64
familial	1999	4	59
haplotype	1999	4	25
heart	1999	4	71
level	1999	4	52
marker	1999	4	54
pair	1999	4	151
regression	1999	4	31
relative	1999	4	189
shared	1999	4	177
susceptibility	1999	4	32
two	1999	4	108
american	1999	3	111
arthritis	1999	3	242
binary	1999	3	224
blood	1999	3	105
breast	1999	3	38
class	1999	3	369
detecting	1999	3	54
disorder	1999	3	96
evaluating	1999	3	267
false	1999	3	481
frequency	1999	3	199
geneenvironment	1999	3	40
genotype	1999	3	22
hla	1999	3	256
il4	1999	3	1562
logistic	1999	3	189
major	1999	3	213
mexican	1999	3	608
multipoint	1999	3	242
pedigree	1999	3	36
populationbased	1999	3	231
rate	1999	3	195
risk	1999	3	2
segregation	1999	3	171
sibpair	1999	3	300
strategy	1999	3	111
transmission	1999	3	231
variation	1999	3	40
ace	1999	2	481
africa	1999	2	1072
aggregation	1999	2	256
alcoholism	1999	2	1072
algorithm	1999	2	137
allele	1999	2	119
allelic	1999	2	326
application	1999	2	24
brca1	1999	2	808
candidate	1999	2	69
casecontrol	1999	2	36
cigarette	1999	2	1072
cleft	1999	2	277
cluster	1999	2	326
combined	1999	2	189
correlation	1999	2	142
covariates	1999	2	256
detection	1999	2	59
diabetes	1999	2	42
distribution	1999	2	242
dna	1999	2	71
enzyme	1999	2	566
epidemiology	1999	2	231
estimate	1999	2	128
evaluation	1999	2	114
extension	1999	2	418
fat	1999	2	808
genegene	1999	2	88
genomewide	1999	2	7
hasemanelston	1999	2	719
human	1999	2	45
identify	1999	2	81
identifying	1999	2	88
inference	1999	2	171
information	1999	2	108
latent	1999	2	287
likelihood	1999	2	165
link	1999	2	652
maternal	1999	2	242
measured	1999	2	566
metaanalysis	1999	2	75
mismatch	1999	2	920
multifactorial	1999	2	652
mutation	1999	2	121
new	1999	2	75
nonsyndromic	1999	2	1072
oral	1999	2	392
phenotype	1999	2	18
pressure	1999	2	159
receptor	1999	2	256
region	1999	2	73
regressionbased	1999	2	652
relation	1999	2	326
relationship	1999	2	151
repair	1999	2	481
response	1999	2	177
rheumatoid	1999	2	242
search	1999	2	224
sib	1999	2	287
sibling	1999	2	300
smoking	1999	2	126
snp	1999	2	16
transmissiondisequilibrium	1999	2	719
twolocus	1999	2	719
type	1999	2	33
use	1999	2	177
various	1999	2	1562
via	1999	2	165
absence	1999	1	1274
acid	1999	1	369
across	1999	1	183
additive	1999	1	808
adhd	1999	1	920
admixture	1999	1	231
africanamerican	1999	1	523
ageofonset	1999	1	1274
aggressiveness	1999	1	1562
alcohol	1999	1	345
alternative	1999	1	287
alzheimers	1999	1	151
america	1999	1	1274
among	1999	1	159
angiotensin	1999	1	1562
antonio	1999	1	920
apoe	1999	1	523
apolipoprotein	1999	1	1274
applied	1999	1	345
approach	1999	1	108
area	1999	1	808
aric	1999	1	920
arterial	1999	1	1274
ascertainment	1999	1	287
assortative	1999	1	1072
atopy	1999	1	719
autoimmune	1999	1	1072
behavior	1999	1	566
bias	1999	1	142
bipolar	1999	1	392
black	1999	1	1562
body	1999	1	218
bootstrap	1999	1	1072
brca2	1999	1	808
carrier	1999	1	446
categorical	1999	1	1562
censored	1999	1	566
centenarian	1999	1	1562
cf	1999	1	1562
challenge	1999	1	314
change	1999	1	277
childhood	1999	1	481
chromosome	1999	1	50
cohort	1999	1	93
colorectal	1999	1	126
combination	1999	1	523
comorbid	1999	1	1274
condition	1999	1	719
congenital	1999	1	566
continuous	1999	1	566
control	1999	1	66
critical	1999	1	719
cystic	1999	1	446
deficiency	1999	1	1562
derived	1999	1	446
descent	1999	1	314
design	1999	1	59
development	1999	1	183
diastolic	1999	1	1562
dichotomous	1999	1	1072
direct	1999	1	652
discrete	1999	1	1274
dominant	1999	1	1274
dysplasia	1999	1	1562
efficiency	1999	1	481
efficient	1999	1	134
environment	1999	1	139
environmental	1999	1	206
epidemiologic	1999	1	808
epidemiological	1999	1	808
epilepsy	1999	1	719
equation	1999	1	481
error	1999	1	134
estimated	1999	1	920
estimating	1999	1	134
etiology	1999	1	418
exposure	1999	1	177
extended	1999	1	213
extending	1999	1	1072
familybased	1999	1	114
fatty	1999	1	608
fibrosis	1999	1	287
finding	1999	1	608
finescale	1999	1	652
first	1999	1	652
five	1999	1	1072
folate	1999	1	1072
founder	1999	1	608
french	1999	1	256
function	1999	1	131
functional	1999	1	126
gamete	1999	1	1562
gamma	1999	1	1562
gee	1999	1	1562
general	1999	1	256
generalized	1999	1	195
glioma	1999	1	1274
glutathione	1999	1	1562
height	1999	1	808
heritability	1999	1	99
heterogeneity	1999	1	54
heterozygosity	1999	1	1072
highdensity	1999	1	920
highly	1999	1	523
history	1999	1	242
homozygosity	1999	1	523
hypergen	1999	1	1072
hyperlipidemia	1999	1	1274
identity	1999	1	523
idiopathic	1999	1	719
impact	1999	1	142
inbred	1999	1	1274
incorporating	1999	1	183
incorporation	1999	1	719
indirect	1999	1	920
individual	1999	1	96
infarction	1999	1	920
infection	1999	1	224
inheritance	1999	1	418
interpreting	1999	1	1072
investigate	1999	1	418
isolated	1999	1	345
issue	1999	1	392
joint	1999	1	105
juvenile	1999	1	1072
kinship	1999	1	920
large	1999	1	81
late	1999	1	566
least	1999	1	808
left	1999	1	566
length	1999	1	808
likelihoodbased	1999	1	808
linked	1999	1	218
lipoprotein	1999	1	566
localization	1999	1	481
lod	1999	1	446
low	1999	1	242
lung	1999	1	59
main	1999	1	1562
mating	1999	1	481
may	1999	1	652
measurement	1999	1	392
mediation	1999	1	345
mellitus	1999	1	920
metabolic	1999	1	151
metabolism	1999	1	523
mexicanamerican	1999	1	1274
modelfree	1999	1	920
modelling	1999	1	277
modifier	1999	1	326
molecular	1999	1	345
multilocus	1999	1	277
multiple	1999	1	19
myocardial	1999	1	808
nat2	1999	1	1562
national	1999	1	1072
negative	1999	1	920
network	1999	1	99
neural	1999	1	920
nigerian	1999	1	1274
nonrandom	1999	1	920
north	1999	1	652
nuclear	1999	1	345
offspring	1999	1	523
oligogenic	1999	1	920
onset	1999	1	123
osteoarthritis	1999	1	719
parental	1999	1	392
path	1999	1	1562
patient	1999	1	102
pattern	1999	1	206
phase	1999	1	608
phenotypic	1999	1	418
plasma	1999	1	213
polymorphic	1999	1	1562
positive	1999	1	446
precision	1999	1	808
predisposing	1999	1	920
predisposition	1999	1	566
presence	1999	1	114
prevalence	1999	1	652
probability	1999	1	418
probands	1999	1	719
procedure	1999	1	418
prospective	1999	1	523
prostate	1999	1	69
psychiatric	1999	1	920
qtl	1999	1	195
qtls	1999	1	719
racial	1999	1	920
random	1999	1	139
randomization	1999	1	59
recent	1999	1	808
recurrence	1999	1	808
regional	1999	1	608
registry	1999	1	719
reproductive	1999	1	719
resolving	1999	1	1274
respect	1999	1	1072
resting	1999	1	1562
retrospective	1999	1	608
robustness	1999	1	808
sample	1999	1	34
sampling	1999	1	242
san	1999	1	920
score	1999	1	20
second	1999	1	1274
selecting	1999	1	920
selection	1999	1	49
sequential	1999	1	345
serum	1999	1	277
setting	1999	1	1562
severity	1999	1	523
sharing	1999	1	199
sibpairs	1999	1	1072
sibships	1999	1	719
signal	1999	1	218
significance	1999	1	314
simulation	1999	1	171
single	1999	1	195
singlelocus	1999	1	1274
size	1999	1	145
square	1999	1	808
statistic	1999	1	59
statistical	1999	1	77
stratification	1999	1	151
structural	1999	1	523
structured	1999	1	566
subject	1999	1	345
subtypes	1999	1	566
survey	1999	1	1274
survival	1999	1	159
symptom	1999	1	523
time	1999	1	206
traditional	1999	1	1274
treebased	1999	1	1274
twin	1999	1	392
u	1999	1	719
unaffected	1999	1	1562
underlying	1999	1	300
vaccine	1999	1	1562
ventricular	1999	1	719
west	1999	1	1274
wholegenome	1999	1	418
within	1999	1	277
linkage	2000	38	3
effect	2000	14	8
cancer	2000	11	4
disequilibrium	2000	11	77
pedigree	2000	11	36
power	2000	11	25
family	2000	10	9
interaction	2000	10	5
complex	2000	9	17
trait	2000	9	6
genotype	2000	8	22
locus	2000	8	13
mapping	2000	8	29
population	2000	8	10
affected	2000	7	114
geneenvironment	2000	7	40
segregation	2000	7	171
allele	2000	6	119
association	2000	6	1
detect	2000	6	81
familial	2000	6	59
gene	2000	6	14
heterogeneity	2000	6	54
model	2000	6	22
phenotype	2000	6	18
sibpair	2000	6	300
statistical	2000	6	77
test	2000	6	11
design	2000	5	59
disease	2000	5	48
lod	2000	5	446
prostate	2000	5	69
regression	2000	5	31
scan	2000	5	59
ascertainment	2000	4	287
breast	2000	4	38
chromosome	2000	4	50
diabetes	2000	4	42
epidemiology	2000	4	231
epistasis	2000	4	151
estimate	2000	4	128
generalized	2000	4	195
heart	2000	4	71
human	2000	4	45
level	2000	4	52
marker	2000	4	54
multiple	2000	4	19
multiplex	2000	4	418
multipoint	2000	4	242
pair	2000	4	151
polymorphism	2000	4	28
relative	2000	4	189
risk	2000	4	2
score	2000	4	20
snp	2000	4	16
statistic	2000	4	59
type	2000	4	33
application	2000	3	24
casecontrol	2000	3	36
combined	2000	3	189
conditional	2000	3	256
consortium	2000	3	242
detecting	2000	3	54
detection	2000	3	59
estimation	2000	3	64
evaluating	2000	3	267
evidence	2000	3	66
frequency	2000	3	199
hasemanelston	2000	3	719
individual	2000	3	96
inheritance	2000	3	418
modeling	2000	3	79
new	2000	3	75
oligogenic	2000	3	920
rate	2000	3	195
related	2000	3	64
sampling	2000	3	242
set	2000	3	128
tdt	2000	3	326
transmission	2000	3	231
variance	2000	3	151
accounting	2000	2	267
ace	2000	2	481
adjusting	2000	2	481
africanamerican	2000	2	523
age	2000	2	88
alcohol	2000	2	345
alternative	2000	2	287
alzheimers	2000	2	151
american	2000	2	111
approach	2000	2	108
asthma	2000	2	151
bipolar	2000	2	392
candidate	2000	2	69
change	2000	2	277
collaboration	2000	2	1562
colorectal	2000	2	126
comparison	2000	2	21
component	2000	2	99
contribution	2000	2	267
correlation	2000	2	142
cytokine	2000	2	1072
determinant	2000	2	446
disorder	2000	2	96
distribution	2000	2	242
error	2000	2	134
erythematosus	2000	2	920
finescale	2000	2	652
framingham	2000	2	300
genomewide	2000	2	7
gibbs	2000	2	808
heritability	2000	2	99
hierarchical	2000	2	206
history	2000	2	242
incorporating	2000	2	183
increasing	2000	2	1072
independent	2000	2	418
joint	2000	2	105
likelihood	2000	2	165
linear	2000	2	224
linked	2000	2	218
logistic	2000	2	189
lupus	2000	2	719
metaanalysis	2000	2	75
missing	2000	2	151
mixed	2000	2	171
mixture	2000	2	446
multivariate	2000	2	123
penetrance	2000	2	418
plasma	2000	2	213
populationbased	2000	2	231
presence	2000	2	114
procedure	2000	2	418
property	2000	2	608
proportion	2000	2	652
qtl	2000	2	195
ratio	2000	2	277
response	2000	2	177
retrospective	2000	2	608
sibships	2000	2	719
strategy	2000	2	111
susceptibility	2000	2	32
system	2000	2	345
systemic	2000	2	808
tolerance	2000	2	1562
transmissiondisequilibrium	2000	2	719
true	2000	2	808
used	2000	2	652
v	2000	2	808
weighted	2000	2	300
7q	2000	1	1562
accuracy	2000	1	345
activity	2000	1	719
adaptive	2000	1	345
addressing	2000	1	920
adjustment	2000	1	566
admixture	2000	1	231
adult	2000	1	314
affective	2000	1	1274
africanamericans	2000	1	1072
airway	2000	1	1562
allelesharing	2000	1	1072
alzheimer	2000	1	267
america	2000	1	1274
amish	2000	1	481
among	2000	1	159
analytic	2000	1	719
analyze	2000	1	920
angiotensin	2000	1	1562
antonio	2000	1	920
applied	2000	1	345
arbitrary	2000	1	1274
architecture	2000	1	199
artery	2000	1	224
asian	2000	1	719
assay	2000	1	1274
assessing	2000	1	267
atopy	2000	1	719
attention	2000	1	1562
autism	2000	1	267
bayesian	2000	1	47
beyond	2000	1	808
bias	2000	1	142
blood	2000	1	105
brca1	2000	1	808
brca2	2000	1	808
calculation	2000	1	446
carlo	2000	1	920
carotid	2000	1	719
case	2000	1	90
causality	2000	1	1562
cellular	2000	1	1562
censored	2000	1	566
chain	2000	1	1072
characteristic	2000	1	808
child	2000	1	418
childhood	2000	1	481
cleft	2000	1	277
clinical	2000	1	145
cluster	2000	1	326
clustering	2000	1	206
concentration	2000	1	719
connection	2000	1	1562
control	2000	1	66
correction	2000	1	314
covariates	2000	1	256
critical	2000	1	719
cystic	2000	1	446
dataset	2000	1	1274
death	2000	1	920
deciphering	2000	1	1274
deficit	2000	1	1562
degree	2000	1	1274
deriving	2000	1	1562
descent	2000	1	314
diagnosis	2000	1	719
difference	2000	1	256
different	2000	1	159
direct	2000	1	652
discordant	2000	1	1274
disturbance	2000	1	1562
drdq	2000	1	1562
dysfunction	2000	1	1072
efficiency	2000	1	481
egea	2000	1	446
enzyme	2000	1	566
epidemiological	2000	1	808
estimating	2000	1	134
estimator	2000	1	808
estrogen	2000	1	920
evaluation	2000	1	114
expression	2000	1	59
extending	2000	1	1072
extent	2000	1	1072
fasting	2000	1	652
fetal	2000	1	369
fhs	2000	1	920
fibrosis	2000	1	287
first	2000	1	652
followup	2000	1	566
founder	2000	1	608
freedom	2000	1	1274
french	2000	1	256
function	2000	1	131
functional	2000	1	126
genegene	2000	1	88
general	2000	1	256
genomic	2000	1	73
genotyping	2000	1	206
glucose	2000	1	523
group	2000	1	314
growth	2000	1	392
haplotype	2000	1	25
hardyweinberg	2000	1	523
hdl	2000	1	481
healthy	2000	1	418
hereditary	2000	1	481
highorder	2000	1	1072
hla	2000	1	256
hyperlipidemia	2000	1	1274
hypertension	2000	1	345
hypothesis	2000	1	608
ibd	2000	1	446
identify	2000	1	81
identifying	2000	1	88
illness	2000	1	1562
implication	2000	1	314
improvement	2000	1	808
inbred	2000	1	1274
inbreeding	2000	1	1274
increase	2000	1	481
index	2000	1	195
indian	2000	1	608
indirect	2000	1	920
infant	2000	1	920
inference	2000	1	171
influence	2000	1	159
informative	2000	1	481
insulin	2000	1	345
interactive	2000	1	1274
interacts	2000	1	1274
intermediate	2000	1	808
international	2000	1	808
investigate	2000	1	418
issue	2000	1	392
known	2000	1	446
ld	2000	1	300
left	2000	1	566
length	2000	1	808
leptin	2000	1	1274
life	2000	1	481
limitation	2000	1	1072
lipid	2000	1	369
literature	2000	1	1562
localization	2000	1	481
localizing	2000	1	1274
longitudinal	2000	1	93
lung	2000	1	59
main	2000	1	1562
major	2000	1	213
map	2000	1	369
markov	2000	1	719
maternal	2000	1	242
maximum	2000	1	418
mean	2000	1	1274
measure	2000	1	165
measurement	2000	1	392
meta	2000	1	159
metabolic	2000	1	151
metabolism	2000	1	523
mining	2000	1	523
mode	2000	1	1274
modelfree	2000	1	920
modifier	2000	1	326
monte	2000	1	920
montecarlo	2000	1	1562
multiallelic	2000	1	1274
multifactorial	2000	1	652
multiplicative	2000	1	1274
mutation	2000	1	121
nigerian	2000	1	1274
nonrandom	2000	1	920
north	2000	1	652
npl	2000	1	1562
nucleotide	2000	1	326
null	2000	1	920
number	2000	1	103
obesity	2000	1	165
one	2000	1	369
onset	2000	1	123
oral	2000	1	392
order	2000	1	523
pairwise	2000	1	920
parental	2000	1	392
parentoforigin	2000	1	446
partitioning	2000	1	1072
pattern	2000	1	206
physiological	2000	1	1274
polygenic	2000	1	43
potential	2000	1	314
powerful	2000	1	177
prediction	2000	1	43
predictive	2000	1	277
pressure	2000	1	159
problem	2000	1	523
program	2000	1	523
pvalues	2000	1	608
randomization	2000	1	59
reducing	2000	1	1274
reduction	2000	1	218
region	2000	1	73
relation	2000	1	326
report	2000	1	1072
required	2000	1	1562
residual	2000	1	808
respiratory	2000	1	1274
resting	2000	1	1562
reveals	2000	1	131
review	2000	1	652
revisited	2000	1	808
robust	2000	1	165
sample	2000	1	34
san	2000	1	920
screen	2000	1	481
sequential	2000	1	345
sexspecific	2000	1	446
sib	2000	1	287
sibpairs	2000	1	1072
simulated	2000	1	652
simulation	2000	1	171
single	2000	1	195
skeletal	2000	1	1274
sle	2000	1	808
small	2000	1	523
smoking	2000	1	126
south	2000	1	523
specific	2000	1	256
sporadic	2000	1	920
status	2000	1	446
stochastic	2000	1	566
stoppage	2000	1	1562
stratification	2000	1	151
stratified	2000	1	392
strong	2000	1	369
subpopulation	2000	1	1274
successful	2000	1	1274
support	2000	1	1274
survival	2000	1	159
syndrome	2000	1	131
technique	2000	1	808
three	2000	1	481
tightly	2000	1	1072
trend	2000	1	1072
trial	2000	1	719
two	2000	1	108
twophase	2000	1	920
twostage	2000	1	326
u	2000	1	719
unrelated	2000	1	566
use	2000	1	177
validity	2000	1	1072
ventricular	2000	1	719
weighting	2000	1	1072
wise	2000	1	1274
within	2000	1	277
without	2000	1	481
woman	2000	1	189
year	2000	1	1274
linkage	2001	14	3
cancer	2001	10	4
interaction	2001	6	5
family	2001	5	9
trait	2001	5	6
heterogeneity	2001	4	54
locus	2001	4	13
test	2001	4	11
association	2001	3	1
chromosome	2001	3	50
disease	2001	3	48
environment	2001	3	139
genomewide	2001	3	7
lung	2001	3	59
pair	2001	3	151
power	2001	3	25
region	2001	3	73
segregation	2001	3	171
affected	2001	2	114
alcohol	2001	2	345
breast	2001	2	38
colorectal	2001	2	126
comparison	2001	2	21
complex	2001	2	17
design	2001	2	59
detect	2001	2	81
disequilibrium	2001	2	77
effect	2001	2	8
geneenvironment	2001	2	40
genegene	2001	2	88
haplotype	2001	2	25
hepatitis	2001	2	652
hereditary	2001	2	481
infection	2001	2	224
joint	2001	2	105
likelihood	2001	2	165
mapping	2001	2	29
multiple	2001	2	19
pedigree	2001	2	36
phenotype	2001	2	18
polymorphism	2001	2	28
presence	2001	2	114
prostate	2001	2	69
risk	2001	2	2
sample	2001	2	34
scan	2001	2	59
set	2001	2	128
sib	2001	2	287
sibling	2001	2	300
statistic	2001	2	59
susceptibility	2001	2	32
acid	2001	1	369
activity	2001	1	719
adjusted	2001	1	523
african	2001	1	99
age	2001	1	88
ageofonset	2001	1	1274
allelesharing	2001	1	1072
american	2001	1	111
arthritis	2001	1	242
ascertainment	2001	1	287
automated	2001	1	719
